epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.13944,0.78582,1.52031,1.17577,0.57856,0.85,0.87867,0.63494,1.63115,1.06776,1.37465,0,0,0
2,2.20241,0.89969,2.19999,1.23415,0.56779,0.85,0.87776,0.63471,1.64905,1.06018,1.37665,1.07219e-06,1.07219e-06,1.07219e-06
3,3.26814,1.08469,1.89629,1.44969,0.60237,0.85,0.84924,0.64989,1.64269,1.04522,1.37322,1.90876e-06,1.90876e-06,1.90876e-06
4,4.38107,1.08255,1.6408,1.41006,0.61364,0.85,0.85088,0.65038,1.64113,1.04651,1.37055,2.50971e-06,2.50971e-06,2.50971e-06
5,5.5811,0.95893,2.03691,1.37749,0.61959,0.85,0.87932,0.65405,1.61968,1.03946,1.35195,2.87504e-06,2.87504e-06,2.87504e-06
6,6.66595,1.05602,1.54935,1.46406,0.63142,0.85,0.85257,0.65157,1.60999,1.02318,1.34448,3.00475e-06,3.00475e-06,3.00475e-06
7,7.70622,0.97754,1.60861,1.32841,0.63852,0.85,0.85249,0.65122,1.59486,1.02869,1.33875,2.89884e-06,2.89884e-06,2.89884e-06
8,8.75929,1.01459,1.80248,1.426,0.65042,0.85,0.87424,0.65383,1.59569,1.02745,1.33831,2.55731e-06,2.55731e-06,2.55731e-06
9,9.81447,1.09762,1.61585,1.4337,0.6525,0.85,0.85918,0.64473,1.58329,1.02178,1.33116,1.98016e-06,1.98016e-06,1.98016e-06
10,10.8755,0.94096,1.49485,1.24578,0.65766,0.85,0.86173,0.64606,1.55834,1.01481,1.3195,1.16739e-06,1.16739e-06,1.16739e-06
